Family,Gene_ID
ACINU,gene-SMTH1_LOCUS6929
ACINU,gene-SMTH1_LOCUS10286
ACTB,gene-SMTH1_LOCUS10431
ACTL6A,gene-SMTH1_LOCUS10431
ACTL6B,gene-SMTH1_LOCUS10431
ACTR3B,gene-SMTH1_LOCUS10431
ACTR5,gene-SMTH1_LOCUS10431
ACTR6,gene-SMTH1_LOCUS10431
ACTR8,gene-SMTH1_LOCUS10431
ADNP,gene-SMTH1_LOCUS10535
AEBP2,gene-SMTH1_LOCUS10615
ALKBH1,gene-SMTH1_LOCUS7992
ALKBH1,gene-SMTH1_LOCUS7992
ALKBH4,gene-SMTH1_LOCUS7992
ALKBH5,gene-SMTH1_LOCUS7992
ANKRD32,gene-SMTH1_LOCUS10644
ANP32A,gene-SMTH1_LOCUS10576
ANP32B,gene-SMTH1_LOCUS10654
ANP32E,gene-SMTH1_LOCUS10654
ANP32E,gene-SMTH1_LOCUS10576
APBB1,gene-SMTH1_LOCUS6157
APBB1,gene-SMTH1_LOCUS10566
APEX1,gene-SMTH1_LOCUS10480
ARID1A,gene-SMTH1_LOCUS10293
ARID1A,gene-SMTH1_LOCUS7396
ARID1B,gene-SMTH1_LOCUS10293
ARID1B,gene-SMTH1_LOCUS7396
ARID2,gene-SMTH1_LOCUS10293
ARID2,gene-SMTH1_LOCUS9651
ARID4A,gene-SMTH1_LOCUS10293
ARID4A,gene-SMTH1_LOCUS10293
ARID4A,gene-SMTH1_LOCUS10293
ARID4B,gene-SMTH1_LOCUS10293
ARID4B,gene-SMTH1_LOCUS10293
ARID4B,gene-SMTH1_LOCUS10293
ARNTL,gene-SMTH1_LOCUS9992
ARNTL,gene-SMTH1_LOCUS10251
ARNTL,gene-SMTH1_LOCUS9992
ARRB1,gene-SMTH1_LOCUS8439
ARRB1,gene-SMTH1_LOCUS8610
ASF1A,gene-SMTH1_LOCUS8966
ASF1B,gene-SMTH1_LOCUS8966
ASH1L,gene-SMTH1_LOCUS8088
ASH1L,gene-SMTH1_LOCUS7735
ASH1L,gene-SMTH1_LOCUS10667
ASH1L,gene-SMTH1_LOCUS10661
ASH2L,gene-SMTH1_LOCUS10333
ATAD2,gene-SMTH1_LOCUS10541
ATAD2,gene-SMTH1_LOCUS7735
ATAD2B,gene-SMTH1_LOCUS10541
ATAD2B,gene-SMTH1_LOCUS7735
ATF2,gene-SMTH1_LOCUS10622
ATR,gene-SMTH1_LOCUS10083
ATR,gene-SMTH1_LOCUS10083
ATR,gene-SMTH1_LOCUS10083
ATR,gene-SMTH1_LOCUS10084
ATRX,gene-SMTH1_LOCUS10333
ATRX,gene-SMTH1_LOCUS10167
ATXN7,gene-SMTH1_LOCUS3580
ATXN7L3,gene-SMTH1_LOCUS3580
ATXN7L3,gene-SMTH1_LOCUS10019
AURKA,gene-SMTH1_LOCUS10630
AURKB,gene-SMTH1_LOCUS10630
AURKC,gene-SMTH1_LOCUS10630
BAHD1,gene-SMTH1_LOCUS8088
BANP,gene-SMTH1_LOCUS1814
BAP1,gene-SMTH1_LOCUS4562
BARD1,gene-SMTH1_LOCUS10644
BARD1,gene-SMTH1_LOCUS10358
BARD1,gene-SMTH1_LOCUS5653
BAZ1A,gene-SMTH1_LOCUS7735
BAZ1A,gene-SMTH1_LOCUS6820
BAZ1A,gene-SMTH1_LOCUS10667
BAZ1A,gene-SMTH1_LOCUS4950
BAZ1A,gene-SMTH1_LOCUS447
BAZ2B,gene-SMTH1_LOCUS7735
BAZ2B,gene-SMTH1_LOCUS6820
BAZ2B,gene-SMTH1_LOCUS5900
