record_id,start,end
OX103876.1,50868,50883
OX103876.1,63382,63396
OX103876.1,296156,296169
OX103876.1,337234,337246
OX103876.1,408738,408754
OX103876.1,412466,412481
OX103876.1,413569,413579
OX103876.1,521850,521865
OX103876.1,522018,522035
OX103876.1,640842,640855
OX103876.1,711918,711933
OX103876.1,763501,763516
OX103876.1,774978,774990
OX103876.1,775831,775846
OX103876.1,778072,778087
OX103876.1,798383,798401
OX103876.1,807082,807093
OX103876.1,828939,828957
OX103876.1,832891,832906
OX103876.1,834855,834869
OX103876.1,858463,858475
OX103876.1,860853,860868
OX103876.1,880625,880643
OX103876.1,928549,928563
OX103876.1,960204,960219
OX103876.1,965242,965252
OX103876.1,965931,965947
OX103876.1,1001652,1001667
OX103876.1,1013237,1013251
OX103876.1,1042645,1042659
OX103876.1,1048443,1048457
OX103876.1,1051059,1051075
OX103876.1,1058273,1058290
OX103876.1,1059009,1059026
OX103876.1,1060226,1060242
OX103876.1,1069788,1069798
OX103876.1,1077831,1077844
OX103876.1,1106963,1106979
OX103876.1,1165876,1165889
OX103876.1,1204508,1204525
OX103876.1,1205930,1205947
OX103876.1,1206998,1207012
OX103876.1,1229519,1229532
OX103876.1,1231772,1231786
OX103876.1,1310518,1310535
OX103876.1,1329934,1329951
OX103876.1,1333628,1333642
OX103876.1,1353441,1353457
OX103876.1,1354623,1354635
OX103876.1,1355541,1355557
OX103876.1,1356102,1356119
OX103876.1,1357192,1357207
OX103876.1,1363449,1363465
OX103876.1,1374855,1374866
OX103876.1,1377762,1377776
OX103876.1,1380815,1380829
OX103876.1,1384013,1384026
OX103876.1,1387210,1387225
OX103876.1,1418154,1418168
OX103876.1,1500388,1500399
OX103876.1,1506560,1506572
OX103876.1,1507663,1507678
OX103876.1,1507868,1507883
OX103876.1,1519349,1519361
OX103876.1,1524775,1524791
OX103876.1,1552574,1552586
OX103876.1,1559001,1559015
OX103876.1,1590752,1590766
OX103876.1,1590900,1590914
OX103876.1,1606062,1606078
OX103876.1,1658402,1658412
OX103876.1,1666311,1666321
OX103876.1,1667436,1667449
OX103876.1,1673411,1673429
OX103876.1,1693654,1693671
OX103876.1,1696841,1696852
OX103876.1,1706744,1706758
OX103876.1,1708177,1708190
OX103876.1,1750676,1750690
OX103876.1,1760258,1760273
OX103876.1,1776711,1776726
OX103876.1,1795575,1795588
OX103876.1,1798568,1798583
OX103876.1,1843238,1843250
OX103876.1,1854405,1854420
OX103876.1,1876096,1876110
OX103876.1,1887491,1887507
OX103876.1,1927420,1927436
OX103876.1,1962131,1962145
OX103876.1,1974442,1974459
OX103876.1,2019578,2019589
OX103876.1,2024679,2024691
OX103876.1,2031136,2031152
OX103876.1,2096318,2096335
OX103876.1,2128501,2128516
OX103876.1,2129727,2129745
OX103876.1,2132928,2132942
OX103876.1,2188254,2188269
OX103876.1,2195440,2195453
OX103876.1,2237254,2237270
OX103876.1,2254173,2254188
OX103876.1,2274962,2274977
OX103876.1,2284627,2284642
OX103876.1,2291914,2291926
OX103876.1,2297372,2297386
OX103876.1,2302164,2302180
OX103876.1,2313806,2313821
OX103876.1,2322498,2322515
OX103876.1,2324961,2324976
OX103876.1,2342420,2342436
OX103876.1,2344382,2344395
OX103876.1,2367946,2367962
OX103876.1,2370558,2370570
OX103876.1,2414586,2414603
OX103876.1,2415092,2415103
OX103876.1,2415420,2415436
OX103876.1,2425021,2425034
OX103876.1,2426995,2427010
