Family,Gene_ID
ACINU,gene-SSPN1_LOCUS6014
ACINU,gene-SSPN1_LOCUS9045
ACTB,gene-SSPN1_LOCUS8389
ACTL6A,gene-SSPN1_LOCUS8389
ACTL6B,gene-SSPN1_LOCUS8389
ACTR3B,gene-SSPN1_LOCUS8389
ACTR5,gene-SSPN1_LOCUS8389
ACTR6,gene-SSPN1_LOCUS8389
ACTR8,gene-SSPN1_LOCUS8389
ADNP,gene-SSPN1_LOCUS8764
AEBP2,gene-SSPN1_LOCUS9217
ALKBH1,gene-SSPN1_LOCUS6910
ALKBH1,gene-SSPN1_LOCUS6910
ALKBH4,gene-SSPN1_LOCUS6910
ALKBH5,gene-SSPN1_LOCUS6910
ANKRD32,gene-SSPN1_LOCUS9194
ANP32A,gene-SSPN1_LOCUS8913
ANP32B,gene-SSPN1_LOCUS9148
ANP32E,gene-SSPN1_LOCUS9148
ANP32E,gene-SSPN1_LOCUS9148
APBB1,gene-SSPN1_LOCUS8090
APBB1,gene-SSPN1_LOCUS9237
APEX1,gene-SSPN1_LOCUS9148
ARID1A,gene-SSPN1_LOCUS8855
ARID1A,gene-SSPN1_LOCUS6463
ARID1B,gene-SSPN1_LOCUS8855
ARID1B,gene-SSPN1_LOCUS6463
ARID2,gene-SSPN1_LOCUS8855
ARID2,gene-SSPN1_LOCUS8855
ARID4A,gene-SSPN1_LOCUS8855
ARID4A,gene-SSPN1_LOCUS8278
ARID4A,gene-SSPN1_LOCUS8278
ARID4B,gene-SSPN1_LOCUS8855
ARID4B,gene-SSPN1_LOCUS8278
ARID4B,gene-SSPN1_LOCUS8278
ARNTL,gene-SSPN1_LOCUS9106
ARNTL,gene-SSPN1_LOCUS9208
ARNTL,gene-SSPN1_LOCUS9101
ARRB1,gene-SSPN1_LOCUS7295
ARRB1,gene-SSPN1_LOCUS7452
ASF1A,gene-SSPN1_LOCUS7770
ASF1B,gene-SSPN1_LOCUS7770
ASH1L,gene-SSPN1_LOCUS6998
ASH1L,gene-SSPN1_LOCUS7857
ASH1L,gene-SSPN1_LOCUS8531
ASH1L,gene-SSPN1_LOCUS9250
ASH2L,gene-SSPN1_LOCUS8724
ATAD2,gene-SSPN1_LOCUS9128
ATAD2,gene-SSPN1_LOCUS7857
ATAD2B,gene-SSPN1_LOCUS9128
ATAD2B,gene-SSPN1_LOCUS7857
ATF2,gene-SSPN1_LOCUS9039
ATR,gene-SSPN1_LOCUS8606
ATR,gene-SSPN1_LOCUS8765
ATR,gene-SSPN1_LOCUS8765
ATR,gene-SSPN1_LOCUS8434
ATRX,gene-SSPN1_LOCUS9160
ATRX,gene-SSPN1_LOCUS8821
ATXN7,gene-SSPN1_LOCUS3099
ATXN7L3,gene-SSPN1_LOCUS3099
ATXN7L3,gene-SSPN1_LOCUS7559
AURKA,gene-SSPN1_LOCUS9206
AURKB,gene-SSPN1_LOCUS9206
AURKC,gene-SSPN1_LOCUS9206
BAHD1,gene-SSPN1_LOCUS6998
BANP,gene-SSPN1_LOCUS998
BAP1,gene-SSPN1_LOCUS3856
BARD1,gene-SSPN1_LOCUS9194
BARD1,gene-SSPN1_LOCUS8341
BARD1,gene-SSPN1_LOCUS4857
BAZ1A,gene-SSPN1_LOCUS7857
BAZ1A,gene-SSPN1_LOCUS5913
BAZ1A,gene-SSPN1_LOCUS8531
BAZ1A,gene-SSPN1_LOCUS3569
BAZ1A,gene-SSPN1_LOCUS368
BAZ2B,gene-SSPN1_LOCUS7857
BAZ2B,gene-SSPN1_LOCUS5913
BAZ2B,gene-SSPN1_LOCUS5082
BAZ2B,gene-SSPN1_LOCUS8531
BCOR,gene-SSPN1_LOCUS9194
BCORL1,gene-SSPN1_LOCUS9194
BMI1,gene-SSPN1_LOCUS8520
BPTF,gene-SSPN1_LOCUS7857
BPTF,gene-SSPN1_LOCUS5913
BPTF,gene-SSPN1_LOCUS8531
BPTF,gene-SSPN1_LOCUS368
BRCC3,gene-SSPN1_LOCUS9028
BRD1,gene-SSPN1_LOCUS7857
BRD1,gene-SSPN1_LOCUS4152
BRD1,gene-SSPN1_LOCUS8702
BRD1,gene-SSPN1_LOCUS6968
BRD1,gene-SSPN1_LOCUS8702
BRD2,gene-SSPN1_LOCUS7857
BRD3,gene-SSPN1_LOCUS7857
BRD4,gene-SSPN1_LOCUS7857
BRD7,gene-SSPN1_LOCUS7857
BRD7,gene-SSPN1_LOCUS2051
BRD8,gene-SSPN1_LOCUS7857
BRD9,gene-SSPN1_LOCUS7857
BRD9,gene-SSPN1_LOCUS2051
BRDT,gene-SSPN1_LOCUS7857
BRMS1,gene-SSPN1_LOCUS3453
BRMS1L,gene-SSPN1_LOCUS3453
BRPF1,gene-SSPN1_LOCUS7857
BRPF1,gene-SSPN1_LOCUS4152
BRPF1,gene-SSPN1_LOCUS8702
BRPF1,gene-SSPN1_LOCUS6968
