Family,Gene_ID
ACINU,gene-KSF78_0008613
ACINU,gene-KSF78_0008119
ACTB,gene-KSF78_0004534
ACTL6A,gene-KSF78_0004534
ACTL6B,gene-KSF78_0004534
ACTR3B,gene-KSF78_0004534
ACTR5,gene-KSF78_0004534
ACTR6,gene-KSF78_0004534
ACTR8,gene-KSF78_0004534
ADNP,gene-KSF78_0005568
AEBP2,gene-KSF78_0005440
ALKBH1,gene-KSF78_0004445
ALKBH1,gene-KSF78_0004445
ALKBH4,gene-KSF78_0004445
ALKBH5,gene-KSF78_0004445
ANKRD32,gene-KSF78_0005530
ANP32A,gene-KSF78_0005480
ANP32B,gene-KSF78_0005480
ANP32E,gene-KSF78_0005480
ANP32E,gene-KSF78_0005480
APBB1,gene-KSF78_0004724
APBB1,gene-KSF78_0008443
APEX1,gene-KSF78_0005287
ARID1A,gene-KSF78_0004906
ARID1A,gene-KSF78_0007878
ARID1B,gene-KSF78_0004906
ARID1B,gene-KSF78_0007878
ARID2,gene-KSF78_0004906
ARID2,gene-KSF78_0004132
ARID4A,gene-KSF78_0004906
ARID4A,gene-KSF78_0003753
ARID4A,gene-KSF78_0005660
ARID4B,gene-KSF78_0004906
ARID4B,gene-KSF78_0003753
ARID4B,gene-KSF78_0005660
ARNTL,gene-KSF78_0005417
ARNTL,gene-KSF78_0004342
ARNTL,gene-KSF78_0004026
ARRB1,gene-KSF78_0004946
ARRB1,gene-KSF78_0004946
ASF1A,gene-KSF78_0003238
ASF1B,gene-KSF78_0003238
ASH1L,gene-KSF78_0002462
ASH1L,gene-KSF78_0005266
ASH1L,gene-KSF78_0005046
ASH1L,gene-KSF78_0005524
ASH2L,gene-KSF78_0004073
ATAD2,gene-KSF78_0005419
ATAD2,gene-KSF78_0005266
ATAD2B,gene-KSF78_0005419
ATAD2B,gene-KSF78_0005266
ATF2,gene-KSF78_0006501
ATM,gene-KSF78_0004211
ATM,gene-KSF78_0004034
ATM,gene-KSF78_0004710
ATM,gene-KSF78_0000707
ATR,gene-KSF78_0004211
ATR,gene-KSF78_0004034
ATR,gene-KSF78_0004710
ATR,gene-KSF78_0005441
ATRX,gene-KSF78_0005543
ATRX,gene-KSF78_0005543
ATXN7,gene-KSF78_0007635
ATXN7L3,gene-KSF78_0007635
ATXN7L3,gene-KSF78_0004006
AURKA,gene-KSF78_0005539
AURKB,gene-KSF78_0005539
AURKC,gene-KSF78_0005539
BAHD1,gene-KSF78_0002462
BAP1,gene-KSF78_0005343
BARD1,gene-KSF78_0005530
BARD1,gene-KSF78_0005473
BARD1,gene-KSF78_0006244
BAZ1A,gene-KSF78_0005266
BAZ1A,gene-KSF78_0005883
BAZ1A,gene-KSF78_0005046
BAZ1A,gene-KSF78_0005046
BAZ1A,gene-KSF78_0001822
BAZ2B,gene-KSF78_0005266
BAZ2B,gene-KSF78_0005883
BAZ2B,gene-KSF78_0004635
BAZ2B,gene-KSF78_0005046
BCOR,gene-KSF78_0005530
BCORL1,gene-KSF78_0005530
BMI1,gene-KSF78_0005518
BPTF,gene-KSF78_0005266
BPTF,gene-KSF78_0005883
BPTF,gene-KSF78_0005046
BPTF,gene-KSF78_0001822
BRCC3,gene-KSF78_0005221
BRD1,gene-KSF78_0005266
BRD1,gene-KSF78_0004687
BRD1,gene-KSF78_0005046
BRD1,gene-KSF78_0004687
BRD1,gene-KSF78_0005046
