Family,Gene_ID
ACINU,gene-Smp_039490.1
ACINU,gene-Smp_062720.1
ACTB,gene-Smp_161930
ACTL6A,gene-Smp_161930
ACTL6B,gene-Smp_161930
ACTR3B,gene-Smp_161930
ACTR5,gene-Smp_161930
ACTR6,gene-Smp_161930
ACTR8,gene-Smp_161930
ADNP,gene-Smp_017020
AEBP2,gene-Smp_155070
ALKBH1,gene-Smp_041490
ALKBH1,gene-Smp_041490
ALKBH4,gene-Smp_041490
ALKBH5,gene-Smp_041490
ANKRD32,gene-Smp_136530
ANP32A,gene-Smp_160330
ANP32B,gene-Smp_160330
ANP32E,gene-Smp_160330
ANP32E,gene-Smp_160330
APBB1,gene-Smp_139400
APBB1,gene-Smp_162890
APEX1,gene-Smp_210550
ARID1A,gene-Smp_157150
ARID1A,gene-Smp_156170
ARID1B,gene-Smp_157150
ARID1B,gene-Smp_156170
ARID2,gene-Smp_157150
ARID2,gene-Smp_157150
ARID4A,gene-Smp_157150
ARID4A,gene-Smp_124780
ARID4A,gene-Smp_194520
ARID4B,gene-Smp_157150
ARID4B,gene-Smp_124780
ARID4B,gene-Smp_194520
ARNTL,gene-Smp_168600
ARNTL,gene-Smp_136450
ARNTL,gene-Smp_168600
ARRB1,gene-Smp_176980
ARRB1,gene-Smp_134210
ASF1A,gene-Smp_033020
ASF1B,gene-Smp_033020
ASH1L,gene-Smp_071200
ASH1L,gene-Smp_164080
ASH1L,gene-Smp_131550
ASH1L,gene-Smp_149380
ASH2L,gene-Smp_163110
ATAD2,gene-Smp_163660
ATAD2,gene-Smp_164080
ATAD2B,gene-Smp_163660
ATAD2B,gene-Smp_164080
ATF2,gene-Smp_151280.1
ATR,gene-Smp_162340
ATR,gene-Smp_162340
ATR,gene-Smp_162340
ATR,gene-Smp_162340
ATRX,gene-Smp_163110
ATRX,gene-Smp_194820
ATXN7,gene-Smp_034270.1
ATXN7L3,gene-Smp_034270.1
ATXN7L3,gene-Smp_060210
AURKA,gene-Smp_077180
AURKB,gene-Smp_077180
AURKC,gene-Smp_077180
BAHD1,gene-Smp_071200
BANP,gene-Smp_186630
BAP1,gene-Smp_168800.1
BARD1,gene-Smp_136530
BARD1,gene-Smp_143760
BARD1,gene-Smp_137090
BAZ2B,gene-Smp_164080
BAZ2B,gene-Smp_017670
BAZ2B,gene-Smp_150850.1
BAZ2B,gene-Smp_131550
BCOR,gene-Smp_136530
BCORL1,gene-Smp_136530
BMI1,gene-Smp_005020
BRCC3,gene-Smp_078320
BRD1,gene-Smp_164080
BRD1,gene-Smp_097110
BRD1,gene-Smp_132170
BRD1,gene-Smp_041750
BRD1,gene-Smp_132170
BRD2,gene-Smp_164080
BRD3,gene-Smp_164080
BRD4,gene-Smp_164080
BRD7,gene-Smp_164080
BRD7,gene-Smp_083790
BRD8,gene-Smp_164080
BRD9,gene-Smp_164080
BRD9,gene-Smp_083790
BRDT,gene-Smp_164080
BRMS1,gene-Smp_157320
BRMS1L,gene-Smp_157320
BRPF1,gene-Smp_164080
BRPF1,gene-Smp_097110
BRPF1,gene-Smp_132170
BRPF1,gene-Smp_041750
BRPF1,gene-Smp_132170
BRPF3,gene-Smp_164080
BRPF3,gene-Smp_097110
BRPF3,gene-Smp_132170
BRPF3,gene-Smp_041750
BRPF3,gene-Smp_132170
BRWD1,gene-Smp_164080
BRWD1,gene-Smp_163780
BRWD3,gene-Smp_164080
BRWD3,gene-Smp_163780
BUB1,gene-Smp_210110
BUB1,gene-Smp_077180
C11orf30,gene-Smp_142380
C14orf169,gene-Smp_128500
CBLL1,gene-Smp_196220
CBX1,gene-Smp_078280
CBX1,gene-Smp_179650.1
CBX2,gene-Smp_078280
CBX3,gene-Smp_078280
CBX3,gene-Smp_179650.1
CBX4,gene-Smp_078280
CBX5,gene-Smp_078280
CBX5,gene-Smp_179650.1
CBX6,gene-Smp_078280
CBX7,gene-Smp_078280
CBX8,gene-Smp_078280
CCDC101,gene-Smp_071880.1
CDC6,gene-Smp_017070
CDC6,gene-Smp_104260
CDC73,gene-Smp_144090.1
CDK1,gene-Smp_077180
CDK17,gene-Smp_077180
CDK2,gene-Smp_077180
CDK3,gene-Smp_077180
CDK5,gene-Smp_077180
CDK7,gene-Smp_077180
CDK9,gene-Smp_077180
CDY1,gene-Smp_078280
CDY1,gene-Smp_078280
CDY1B,gene-Smp_078280
CDY1B,gene-Smp_078280
CDY2A,gene-Smp_078280
CDY2A,gene-Smp_078280
CDY2B,gene-Smp_078280
CDY2B,gene-Smp_078280
CDYL,gene-Smp_078280
CDYL,gene-Smp_078280
CDYL2,gene-Smp_078280
