Family,Gene_ID
ACINU,gene-MN116_008246
ACINU,gene-MN116_000671
ACTB,gene-MN116_002096
ACTL6A,gene-MN116_002096
ACTL6B,gene-MN116_002096
ACTR3B,gene-MN116_002096
ACTR5,gene-MN116_002096
ACTR6,gene-MN116_002096
ACTR8,gene-MN116_002096
ADNP,gene-MN116_001280
AEBP2,gene-MN116_001510
ALKBH1,gene-MN116_005574
ALKBH1,gene-MN116_005574
ALKBH4,gene-MN116_005574
ALKBH5,gene-MN116_005574
ANKRD32,gene-MN116_001474
ANP32A,gene-MN116_001209
ANP32B,gene-MN116_001209
ANP32E,gene-MN116_001209
ANP32E,gene-MN116_001209
APBB1,gene-MN116_002413
APBB1,gene-MN116_001503
APEX1,gene-MN116_001498
ARID1A,gene-MN116_002201
ARID1A,gene-MN116_007544
ARID1B,gene-MN116_002201
ARID1B,gene-MN116_007544
ARID2,gene-MN116_002201
ARID2,gene-MN116_001839
ARID4A,gene-MN116_002201
ARID4A,gene-MN116_002201
ARID4A,gene-MN116_002201
ARID4B,gene-MN116_002201
ARID4B,gene-MN116_002201
ARID4B,gene-MN116_002201
ARNTL,gene-MN116_001502
ARNTL,gene-MN116_001502
ARNTL,gene-MN116_001502
ARRB1,gene-MN116_000789
ARRB1,gene-MN116_000925
ASF1A,gene-MN116_001274
ASF1B,gene-MN116_001274
ASH1L,gene-MN116_000758
ASH1L,gene-MN116_001315
ASH1L,gene-MN116_001257
ASH1L,gene-MN116_001377
ASH2L,gene-MN116_001257
ATAD2,gene-MN116_001394
ATAD2,gene-MN116_001315
ATAD2B,gene-MN116_001394
ATAD2B,gene-MN116_001315
ATF2,gene-MN116_001068
ATM,gene-MN116_002383
ATM,gene-MN116_002008
ATM,gene-MN116_002008
ATM,gene-MN116_003117
ATR,gene-MN116_002383
ATR,gene-MN116_002008
ATR,gene-MN116_002008
ATR,gene-MN116_002008
ATRX,gene-MN116_001389
ATRX,gene-MN116_001315
ATXN7,gene-MN116_007371
ATXN7L3,gene-MN116_007371
ATXN7L3,gene-MN116_001047
AURKA,gene-MN116_001475
AURKB,gene-MN116_001475
AURKC,gene-MN116_001475
BAHD1,gene-MN116_000758
BANP,gene-MN116_003108
BAP1,gene-MN116_003045
BARD1,gene-MN116_001474
BARD1,gene-MN116_001060
BARD1,gene-MN116_004107
BAZ1A,gene-MN116_001315
BAZ1A,gene-MN116_004159
BAZ1A,gene-MN116_001257
BAZ1A,gene-MN116_004159
BAZ1A,gene-MN116_004159
BAZ2B,gene-MN116_001315
BAZ2B,gene-MN116_004159
BAZ2B,gene-MN116_005459
BAZ2B,gene-MN116_001257
BCOR,gene-MN116_001474
BCORL1,gene-MN116_001474
BMI1,gene-MN116_001351
BPTF,gene-MN116_001315
BPTF,gene-MN116_004159
BPTF,gene-MN116_001257
BPTF,gene-MN116_004159
BRCC3,gene-MN116_001708
BRD1,gene-MN116_001315
BRD1,gene-MN116_005278
BRD1,gene-MN116_002458
BRD1,gene-MN116_002935
BRD1,gene-MN116_001728
BRD2,gene-MN116_001315
BRD3,gene-MN116_001315
BRD4,gene-MN116_001315
BRD7,gene-MN116_001315
BRD7,gene-MN116_003187
BRD8,gene-MN116_001315
BRD9,gene-MN116_001315
BRD9,gene-MN116_003187
BRDT,gene-MN116_001315
BRMS1,gene-MN116_005490
BRMS1L,gene-MN116_005490
BRPF1,gene-MN116_001315
BRPF1,gene-MN116_005278
BRPF1,gene-MN116_002458
BRPF1,gene-MN116_002935
BRPF1,gene-MN116_001728
BRPF3,gene-MN116_001315
BRPF3,gene-MN116_005278
BRPF3,gene-MN116_002458
BRPF3,gene-MN116_002935
BRPF3,gene-MN116_001728
BRWD1,gene-MN116_001315
BRWD1,gene-MN116_000696
BRWD3,gene-MN116_001315
BRWD3,gene-MN116_000696
BUB1,gene-MN116_004528
BUB1,gene-MN116_001475
C11orf30,gene-MN116_007325
C14orf169,gene-MN116_000656
CBLL1,gene-MN116_004599
CBX1,gene-MN116_001223
CBX1,gene-MN116_000590
CBX2,gene-MN116_001223
CBX3,gene-MN116_001223
CBX3,gene-MN116_000590
CBX4,gene-MN116_001223
CBX5,gene-MN116_001223
CBX5,gene-MN116_000590
CBX6,gene-MN116_001223
CBX7,gene-MN116_001223
CBX8,gene-MN116_001223
CCDC101,gene-MN116_007093
CDC6,gene-MN116_001394
CDC6,gene-MN116_002016
CDC73,gene-MN116_002839
CDK1,gene-MN116_001475
CDK17,gene-MN116_001475
CDK2,gene-MN116_001475
CDK3,gene-MN116_001475
CDK5,gene-MN116_001475
CDK7,gene-MN116_001475
CDK9,gene-MN116_001475
CDY1,gene-MN116_001223
CDY1,gene-MN116_001572
CDY1B,gene-MN116_001223
CDY1B,gene-MN116_001572
CDY2A,gene-MN116_001223
CDY2A,gene-MN116_001572
CDY2B,gene-MN116_001223
CDY2B,gene-MN116_001572
CDYL,gene-MN116_001223
CDYL,gene-MN116_001572
CDYL2,gene-MN116_001223
CDYL2,gene-MN116_001572
CECR2,gene-MN116_001315
CELF1,gene-MN116_001479
CELF2,gene-MN116_001479
CELF3,gene-MN116_001479
CELF4,gene-MN116_001479
CELF5,gene-MN116_001479
CELF6,gene-MN116_001479
CHD1,gene-MN116_001223
CHD1,gene-MN116_006340
CHD1,gene-MN116_001389
CHD1,gene-MN116_001315
CHD1L,gene-MN116_001389
CHD1L,gene-MN116_001315
CHD2,gene-MN116_001223
CHD2,gene-MN116_006340
CHD2,gene-MN116_001389
CHD2,gene-MN116_001315
CHD3,gene-MN116_001223
CHD3,gene-MN116_003139
CHD3,gene-MN116_001223
CHD3,gene-MN116_001223
CHD3,gene-MN116_003139
CHD3,gene-MN116_001389
CHD3,gene-MN116_001257
CHD3,gene-MN116_001315
CHD4,gene-MN116_001223
CHD4,gene-MN116_003139
CHD4,gene-MN116_001223
CHD4,gene-MN116_001223
CHD4,gene-MN116_003139
CHD4,gene-MN116_001389
CHD4,gene-MN116_001257
CHD4,gene-MN116_001315
CHD5,gene-MN116_001223
CHD5,gene-MN116_003139
CHD5,gene-MN116_001223
CHD5,gene-MN116_001223
CHD5,gene-MN116_003139
CHD5,gene-MN116_001389
CHD5,gene-MN116_001257
CHD5,gene-MN116_001315
CHD6,gene-MN116_001315
CHD6,gene-MN116_001223
CHD6,gene-MN116_001389
CHD6,gene-MN116_001315
CHD7,gene-MN116_001315
CHD7,gene-MN116_001223
CHD7,gene-MN116_001389
CHD7,gene-MN116_001315
CHD8,gene-MN116_001315
CHD8,gene-MN116_001223
CHD8,gene-MN116_001389
CHD8,gene-MN116_001315
CHD9,gene-MN116_001315
CHD9,gene-MN116_001223
CHD9,gene-MN116_001389
CHD9,gene-MN116_001315
CHEK1,gene-MN116_001475
CHRAC1,gene-MN116_002404
CIR1,gene-MN116_003010
CIT,gene-MN116_003427
CIT,gene-MN116_001475
CIT,gene-MN116_001416
CLNS1A,gene-MN116_002447
CLOCK,gene-MN116_001502
CLOCK,gene-MN116_001502
CLOCK,gene-MN116_001502
CRB2,gene-MN116_001404
CRB2,gene-MN116_001226
CRB2,gene-MN116_001226
CSNK2A1,gene-MN116_001475
CSRP2BP,gene-MN116_002083
CTBP1,gene-MN116_005256
CTBP1,gene-MN116_000896
CTBP2,gene-MN116_005256
CTBP2,gene-MN116_000896
CTCF,gene-MN116_001510
CTCF,gene-MN116_001510
CTCF,gene-MN116_001510
CTCFL,gene-MN116_001510
CTCFL,gene-MN116_001510
CTR9,gene-MN116_001358
